arrival_time,amplitude,icloud,distance,station,station_y,station_x,Max_disp_10_49_Z,CF_1_49_Z,CF_vel_1_49_Z,polarity,trig_on,trig_off
2017-05-30 16:59:33.091155+00:00,-3.81,True,6521.87,A037A,47.0703,10.2643,6.75715685672e-10,12.6695527026,41.7552932122,Negative,4079,5169
2020-06-02 17:50:47.352207+00:00,-4.12,True,6546.59,A024B,48.1002,14.1399,1.24925750445e-08,11.3438556902,28.9810498747,Negative,4617,5260
2016-08-29 07:12:24.412092+00:00,11.35,True,6548.63,A018A,47.7437,15.0776,1.20580796621e-07,28.5077623436,37.0533441593,Positive,4076,6134
2016-07-23 11:52:43.392445+00:00,-26.52,False,6552.83,A022A,48.6348,14.7326,9.32629798105e-08,37.5077433571,38.4705744643,Negative,3909,5558
2016-06-02 12:38:15.307014+00:00,-10.59,True,6553.67,A146A,48.2928,12.975,1.3839008558e-08,3.80818361706,12.2724485431,Negative,3478,6031
2017-04-03 16:59:48.044030+00:00,32.23,False,6558.2,A366A,47.8333,10.6234,7.27069999892e-09,12.9512101035,28.7498927871,Positive,4458,5164
2017-05-15 15:59:21.355383+00:00,9.47,True,6578.74,A007A,48.7162,15.5288,1.42244737424e-08,22.3772243983,40.4335553182,Positive,3596,4888
2020-08-29 16:14:38.971696+00:00,4.85,True,6585.51,A021A,46.7566,15.8253,1.30924304717e-08,12.7468175403,22.240033744,Positive,5018,5987
2018-06-09 16:06:28.435513+00:00,-7.23,True,6608.66,A032A,48.123,13.3063,2.8558315156e-08,20.6071426317,40.3167614765,Negative,4313,5710
2017-08-15 22:03:45.552998+00:00,-2.94,True,6670.73,A366A,47.8333,10.6234,1.13903387252e-08,10.2512813996,22.8558198361,Negative,4426,5168
2020-08-18 13:25:20.987242+00:00,-6.36,True,6701.38,A024B,48.1002,14.1399,9.25919258877e-09,9.95027641277,28.8093104957,Negative,4620,5576
2016-05-31 20:18:10.270747+00:00,-4.18,True,6706.9,A023A,48.4608,14.0707,5.10058926351e-09,34.9298321436,40.5402495551,Negative,4998,5594
2016-07-24 16:54:57.392591+00:00,4.55,True,6749.4,A369A,49.116,11.0216,1.15066433355e-08,9.83750095221,16.9802394532,Positive,4601,6220
2017-06-16 05:20:43.550102+00:00,-5.87,False,6754.13,A140A,47.5523,11.4361,3.44646999562e-09,8.90542412364,30.2764210967,Negative,4175,5093
2016-07-13 17:30:59.965958+00:00,-7.74,True,6758.53,A019A,47.4457,15.0856,3.18362710636e-08,25.3257547771,41.0765144668,Negative,4533,6741
2017-06-25 02:48:08.577513+00:00,-8.51,False,6765.42,A004A,47.9629,16.3968,1.89632904867e-09,1.4247427972,8.50182098045,Negative,4911,6074
2016-06-13 12:36:30.995894+00:00,-19.91,False,6768.6,A358A,48.8697,13.1943,1.74310169029e-07,18.0917987156,21.750793217,Negative,3764,4380
2017-04-03 15:44:00.867995+00:00,3.08,True,6791.13,A029A,47.4301,13.7611,1.06616673839e-08,31.231104497,33.9354740074,Positive,4735,5561
